date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:51:31	1483/1483	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2263353b2e-f39%22	https://1784.navercorp.com/robots.txt		(from )
15:51:31	60285/60285	---MCZ	200	added ('OK')	text/html	etag:W/%226319a9c9-eb7d%22	https://1784.navercorp.com/	C:/My%20Web%20Sites/1784.navercorp/1784.navercorp.com/index.html	(from )
15:51:32	4259/4259	---M--	200	added ('OK')	image/png	etag:%2263353b32-10a3%22	https://1784.navercorp.com/assets/img/data/1784.png	C:/My%20Web%20Sites/1784.navercorp/1784.navercorp.com/assets/img/data/1784.png	(from https://1784.navercorp.com/)
15:51:32	4286/4286	---M--	200	added ('OK')	image/x-icon	etag:%2263353b32-10be%22	https://1784.navercorp.com/assets/img/data/favicon.ico	C:/My%20Web%20Sites/1784.navercorp/1784.navercorp.com/assets/img/data/favicon.ico	(from https://1784.navercorp.com/)
15:51:32	271/271	---M--	200	added ('OK')	image/png	etag:%2263353b32-10f%22	https://1784.navercorp.com/assets/img/data/favicon_32.png	C:/My%20Web%20Sites/1784.navercorp/1784.navercorp.com/assets/img/data/favicon_32.png	(from https://1784.navercorp.com/)
15:51:32	16466/16466	---MCZ	200	added ('OK')	text/css	etag:W/%2263353b2e-4052%22	https://1784.navercorp.com/assets/css/libs.min.css	C:/My%20Web%20Sites/1784.navercorp/1784.navercorp.com/assets/css/libs.min.css	(from https://1784.navercorp.com/)
15:51:32	67168/67168	---MCZ	200	added ('OK')	text/css	etag:W/%2263353b0a-10660%22	https://1784.navercorp.com/assets/css/naver_1784.min.css	C:/My%20Web%20Sites/1784.navercorp/1784.navercorp.com/assets/css/naver_1784.min.css	(from https://1784.navercorp.com/)
15:51:33	175143/175143	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263353b32-2ac27%22	https://1784.navercorp.com/assets/js/libs.min.js	C:/My%20Web%20Sites/1784.navercorp/1784.navercorp.com/assets/js/libs.min.js	(from https://1784.navercorp.com/)
15:51:33	20905/20905	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263353af3-51a9%22	https://1784.navercorp.com/assets/js/naver_1784.min.js	C:/My%20Web%20Sites/1784.navercorp/1784.navercorp.com/assets/js/naver_1784.min.js	(from https://1784.navercorp.com/)
15:51:34	20124/20124	---M-Z	200	added ('OK')	application/javascript	etag:%2262a7edb9-4e9c%22	http://wcs.naver.net/wcslog.js	C:/My%20Web%20Sites/1784.navercorp/wcs.naver.net/wcslog.js	(from https://1784.navercorp.com/)
15:51:34	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Oct%202022%2006:51:35%20GMT	https://1784.navercorp.com/en	C:/My%20Web%20Sites/1784.navercorp/1784.navercorp.com/en	(from https://1784.navercorp.com/)
15:51:34	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Oct%202022%2006:51:35%20GMT	https://1784.navercorp.com/ja	C:/My%20Web%20Sites/1784.navercorp/1784.navercorp.com/ja	(from https://1784.navercorp.com/)
15:51:34	57536/57536	---MCZ	200	added ('OK')	text/html	etag:W/%226319a9c9-e0c0%22	https://1784.navercorp.com/en/	C:/My%20Web%20Sites/1784.navercorp/1784.navercorp.com/en/index.html	(from https://1784.navercorp.com/)
15:51:34	305/305	---M--	200	added ('OK')	image/svg+xml	etag:%2263353b32-131%22	https://1784.navercorp.com/assets/img/coach-scroll.svg	C:/My%20Web%20Sites/1784.navercorp/1784.navercorp.com/assets/img/coach-scroll.svg	(from https://1784.navercorp.com/)
15:51:34	1225/1225	---M--	200	added ('OK')	image/svg+xml	etag:%2263353b32-4c9%22	https://1784.navercorp.com/assets/img/naver.svg	C:/My%20Web%20Sites/1784.navercorp/1784.navercorp.com/assets/img/naver.svg	(from https://1784.navercorp.com/)
15:51:35	279/279	---M--	200	added ('OK')	image/svg+xml	etag:%2263353b32-117%22	https://1784.navercorp.com/assets/img/icon-prev-on.svg	C:/My%20Web%20Sites/1784.navercorp/1784.navercorp.com/assets/img/icon-prev-on.svg	(from https://1784.navercorp.com/)
15:51:35	279/279	---M--	200	added ('OK')	image/svg+xml	etag:%2263353b32-117%22	https://1784.navercorp.com/assets/img/icon-next-on.svg	C:/My%20Web%20Sites/1784.navercorp/1784.navercorp.com/assets/img/icon-next-on.svg	(from https://1784.navercorp.com/)
15:51:35	58404/58404	---MCZ	200	added ('OK')	text/html	etag:W/%226319a9c9-e424%22	https://1784.navercorp.com/ja/	C:/My%20Web%20Sites/1784.navercorp/1784.navercorp.com/ja/index.html	(from https://1784.navercorp.com/)
15:51:35	264010/264010	---M--	200	added ('OK')	image/jpeg	etag:%2263353b32-4074a%22	https://1784.navercorp.com/assets/img/contact/pc-img-contact.jpg	C:/My%20Web%20Sites/1784.navercorp/1784.navercorp.com/assets/img/contact/pc-img-contact.jpg	(from https://1784.navercorp.com/)
15:51:35	1434/1434	---M--	200	added ('OK')	image/png	etag:%2263353b32-59a%22	https://1784.navercorp.com/assets/img/logo-naver.png	C:/My%20Web%20Sites/1784.navercorp/1784.navercorp.com/assets/img/logo-naver.png	(from https://1784.navercorp.com/)
15:51:36	2385898/2385898	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2263353b2f-2467ea%22	https://1784.navercorp.com/assets/fonts/NaverBD-Light.eot	C:/My%20Web%20Sites/1784.navercorp/1784.navercorp.com/assets/fonts/NaverBD-Light.eot	(from https://1784.navercorp.com/assets/css/naver_1784.min.css)
15:51:36	403188/403188	---M--	200	added ('OK')	font/woff2	etag:%2263353b36-626f4%22	https://1784.navercorp.com/assets/fonts/NaverBD-Light.woff2	C:/My%20Web%20Sites/1784.navercorp/1784.navercorp.com/assets/fonts/NaverBD-Light.woff2	(from https://1784.navercorp.com/assets/css/naver_1784.min.css)
15:51:36	2385898/2385898	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2263353b2f-2467ea%22	https://1784.navercorp.com/assets/fonts/NaverBD-Light.eot?	C:/My%20Web%20Sites/1784.navercorp/1784.navercorp.com/assets/fonts/NaverBD-Lightd41d.eot	(from https://1784.navercorp.com/assets/css/naver_1784.min.css)
15:51:36	781160/781160	---M--	200	added ('OK')	font/woff	etag:%2263353b36-beb68%22	https://1784.navercorp.com/assets/fonts/NaverBD-Light.woff	C:/My%20Web%20Sites/1784.navercorp/1784.navercorp.com/assets/fonts/NaverBD-Light.woff	(from https://1784.navercorp.com/assets/css/naver_1784.min.css)
15:51:37	2385588/2385588	---M--	200	added ('OK')	application/octet-stream	etag:%2263353b2f-2466b4%22	https://1784.navercorp.com/assets/fonts/NaverBD-Light.ttf	C:/My%20Web%20Sites/1784.navercorp/1784.navercorp.com/assets/fonts/NaverBD-Light.ttf	(from https://1784.navercorp.com/assets/css/naver_1784.min.css)
